filial	dt	sku_norm	linha	qtd	valor	margem	custo	vendedor	cliente	ped_app	categorias	sub_categorias
39	03/01/2020	tv55	VD	1	2245,899902	141,2899933	1764,77002	V1056876	O8108084	1	VD - TV 55 - 58	VD - TV 55 - 58
33	23/11/2019	lavaseca210kg	LB	1	2678	321,230011	2683,379883	V8731515	H4345810	0	LB - LAVANDERIA	LB - LAVA & SECA
2B	08/11/2019	cel1	CL	1	2699	354,7600098	2711,179932	V110513	X820534	1	CL - SMARTPHONE	CL - PREMIUM
52	09/11/2019	cel2	CL	1	3484,830078	284,3200073	3401,719971	V1118736	O552455	1	CL - SMARTPHONE	CL - PREMIUM
33	02/12/2019	lavaseca110kg	LB	1	2678,310059	304,769989	2669,72998	V87310487	K5021811	1	LB - LAVANDERIA	LB - LAVA & SECA
38	04/12/2019	cel3	CL	1	3876,090088	627,3400269	3271,219971	V11878786	H4853081	1	CL - SMARTPHONE	CL - PREMIUM
3	29/11/2019	cel4	CL	1	3789,72998	743,0200195	3331,560059	V104313	B81408185	0	CL - SMARTPHONE	CL - PREMIUM
55	15/11/2019	cel5	CL	1	3980,439941	427,7099915	3648,030029	V1106873	H4100281	1	CL - SMARTPHONE	CL - PREMIUM
2	07/12/2019	cel6	CL	1	2815	276,4100037	2535,139893	V87387138	H403431	1	CL - SMARTPHONE	CL - PREMIUM
76	03/01/2020	tv55	VD	1	2468,600098	173,2799988	2455,169922	V87387013	X81813210	1	VD - TV 55 - 58	VD - TV 55 - 58
74	26/11/2019	lavaseca210kg	LB	1	2801,100098	605,0499878	2548,340088	V8731506	H004540	0	LB - LAVANDERIA	LB - LAVA & SECA
5	12/12/2019	cel1	CL	1	2699	239,4400024	2535,139893	V103444	M545003	1	CL - SMARTPHONE	CL - PREMIUM
9D	29/11/2019	cel2	CL	1	3535,169922	541,9099731	3142,060059	V8731161	H458180	0	CL - SMARTPHONE	CL - PREMIUM
60	15/11/2019	lavaseca110kg	LB	1	2936	336,7900085	2604,389893	V1187431	H418558	0	LB - LAVANDERIA	LB - LAVA & SECA
55	30/11/2019	cel3	CL	1	3410,550049	-78,12000275	3647,47998	V111586	N28815815	0	CL - SMARTPHONE	CL - PREMIUM
55	30/11/2019	cel4	CL	1	3505,320068	86,19999695	3647,27002	V111586	B52810381	1	CL - SMARTPHONE	CL - PREMIUM
14	21/11/2019	cel5	CL	1	3274,100098	405,1099854	2744,47998	V000186	Y532304	0	CL - SMARTPHONE	CL - PREMIUM
5B	24/11/2019	cel6	CL	1	2824,01001	360,7799988	2535,139893	V1187540	B88153815	0	CL - SMARTPHONE	CL - PREMIUM
6A	03/01/2020	tv55	VD	1	2499	280,730011	2461,350098	V87387433	H54818138	1	VD - TV 55 - 58	VD - TV 55 - 58
33	30/11/2019	lavaseca210kg	LB	1	2681,820068	90,12999725	2704,709961	V103016	K2322811	0	LB - LAVANDERIA	LB - LAVA & SECA
3D	04/11/2019	cel1	CL	1	2841,949951	464,7399902	2535,139893	V000186	H205038	0	CL - SMARTPHONE	CL - PREMIUM
21	03/01/2020	cel2	CL	1	3182,889893	446,8200073	2769,709961	V108043	L802035	1	CL - SMARTPHONE	CL - PREMIUM
33	30/11/2019	lavaseca110kg	LB	1	2678	363,7099915	2663,320068	V103530	N085545	0	LB - LAVANDERIA	LB - LAVA & SECA
14	05/12/2019	cel3	CL	1	3499	168,3899994	2744,709961	V000186	H4881540	0	CL - SMARTPHONE	CL - PREMIUM
14	21/11/2019	cel4	CL	1	3274,100098	409,9200134	2744,47998	V000186	N054288	0	CL - SMARTPHONE	CL - PREMIUM
14	21/11/2019	cel5	CL	1	3274,100098	405,1099854	2744,47998	V000186	B515512	0	CL - SMARTPHONE	CL - PREMIUM
66	08/12/2019	cel6	CL	1	2814,610107	212,5500031	2393,439941	V000186	H4058818	0	CL - SMARTPHONE	CL - PREMIUM
33	28/12/2019	tv55	VD	1	2750	330,519989	2455,169922	V1187031	L808848	1	VD - TV 55 - 58	VD - TV 55 - 58
